,h_id,t_id,entity_sim_score,norm_entity_sim_score
392,392,392,37.359562,0.08660333
393,393,393,963.53986,0.21806963
394,394,394,-266.1528,0.043521382
395,395,395,676.4908,0.17732456
396,396,396,573.822,0.16275129
397,397,397,-169.88335,0.057186313
398,398,398,2452.197,0.4293765
399,399,399,597.12396,0.16605888
400,400,400,455.31635,0.14593005
401,401,401,2718.6294,0.46719515
402,402,402,350.30823,0.1310247
403,403,403,795.7113,0.19424728
404,404,404,1172.041,0.24766526
405,405,405,1125.9857,0.24112795
406,406,406,410.27167,0.1395362
407,407,407,710.6874,0.18217859
408,408,408,53.66886,0.08891835
409,409,409,2064.1628,0.37429714
410,410,410,969.5581,0.2189239
411,411,411,924.18164,0.21248296
412,412,412,1936.1989,0.35613337
413,413,413,88.07801,0.09380254
414,414,414,1155.9984,0.2453881
415,415,415,838.45483,0.20031449
416,416,416,354.49173,0.13161853
417,417,417,674.4096,0.17702916
418,418,418,1398.0916,0.27975193
419,419,419,863.9407,0.20393208
420,420,420,147.62532,0.10225496
421,421,421,1019.9892,0.22608232
422,422,422,3123.7646,0.52470195
423,423,423,335.92834,0.12898356
424,424,424,550.5463,0.15944745
425,425,425,783.7976,0.1925562
426,426,426,493.11414,0.15129524
427,427,427,1754.8643,0.33039388
428,428,428,850.00055,0.20195334
429,429,429,2574.442,0.44672853
430,430,430,700.692,0.1807598
431,431,431,579.7049,0.16358632
432,432,432,971.4886,0.21919791
433,433,433,1804.8622,0.3374908
434,434,434,1243.9696,0.25787514
435,435,435,-5.161934,0.080567636
436,436,436,794.2052,0.1940335
437,437,437,712.9406,0.18249844
438,438,438,1353.5289,0.2734265
439,439,439,509.62433,0.15363877
440,440,440,1957.3903,0.35914138
441,441,441,575.75555,0.16302575
442,442,442,1501.214,0.2943896
443,443,443,786.16406,0.1928921
444,444,444,827.9827,0.19882803
445,445,445,650.0149,0.17356646
446,446,446,946.7839,0.21569122
447,447,447,737.3708,0.18596616
448,448,448,2503.324,0.4366337
449,449,449,1297.5787,0.26548466
450,450,450,36.18577,0.08643672
451,451,451,195.11815,0.10899632
452,452,452,1774.5325,0.33318567
453,453,453,603.36395,0.16694462
454,454,454,533.38196,0.15701105
455,455,455,1535.4437,0.2992483
456,456,456,52.42963,0.08874244
457,457,457,1514.171,0.2962288
458,458,458,23.918192,0.084695406
459,459,459,863.35443,0.20384887
460,460,460,2030.4265,0.36950848
461,461,461,448.24527,0.14492634
462,462,462,1126.2017,0.2411586
463,463,463,386.4458,0.13615425
464,464,464,1105.0464,0.23815574
465,465,465,199.19595,0.10957513
466,466,466,616.253,0.16877413
467,467,467,32.867523,0.085965715
468,468,468,2294.0774,0.4069323
469,469,469,2689.9675,0.46312678
470,470,470,-342.28525,0.03271479
471,471,471,672.18304,0.17671312
472,472,472,1823.9675,0.34020272
473,473,473,-222.64061,0.0496977
