,h_id,t_id,entity_sim_score,norm_entity_sim_score
243,243,243,3427.5837,0.35010666
244,244,244,4855.209,0.609714
245,245,245,4960.8926,0.62893206
246,246,246,4256.4385,0.5008302
247,247,247,4663.8965,0.57492465
248,248,248,4002.2617,0.45460927
249,249,249,2993.626,0.2711934
250,250,250,4590.2197,0.56152683
251,251,251,3374.1152,0.34038365
252,252,252,4480.994,0.54166466
253,253,253,3907.178,0.43731877
254,254,254,3759.87,0.41053146
255,255,255,3903.081,0.4365737
256,256,256,4215.8247,0.49344477
257,257,257,4280.9453,0.50528663
258,258,258,3963.7764,0.44761088
259,259,259,3717.6104,0.4028467
260,260,260,4101.2085,0.4726023
261,261,261,3874.096,0.43130296
262,262,262,4154.643,0.48231915
263,263,263,4557.3354,0.555547
264,264,264,4504.433,0.5459269
265,265,265,4303.2793,0.509348
266,266,266,3779.6829,0.41413435
267,267,267,4610.076,0.5651376
268,268,268,2999.715,0.27230066
269,269,269,4406.867,0.528185
270,270,270,3748.1401,0.40839842
271,271,271,3837.1982,0.42459324
272,272,272,4561.301,0.55626804
273,273,273,4442.624,0.5346872
274,274,274,2905.5767,0.255182
275,275,275,4318.5723,0.51212895
276,276,276,4261.167,0.5016901
277,277,277,3640.3313,0.3887939
278,278,278,4018.4875,0.4575599
279,279,279,3638.06,0.38838083
280,280,280,4044.1567,0.4622277
281,281,281,3824.0513,0.4222025
282,282,282,3929.6548,0.44140604
283,283,283,3908.896,0.43763116
284,284,284,3792.0728,0.41638735
285,285,285,3483.0542,0.36019373
286,286,286,4394.38,0.52591425
287,287,287,3678.0457,0.3956521
288,288,288,4921.725,0.6218096
289,289,289,3592.8809,0.3801652
290,290,290,3918.6816,0.43941063
291,291,291,4064.182,0.46586925
292,292,292,4427.3813,0.5319154
293,293,293,3528.0835,0.3683821
294,294,294,4484.38,0.5422803
295,295,295,3838.8376,0.42489138
296,296,296,4338.2876,0.5157141
297,297,297,4030.4678,0.45973843
298,298,298,4081.5889,0.46903458
299,299,299,3698.4863,0.3993691
300,300,300,4539.513,0.55230606
301,301,301,3683.1826,0.39658618
302,302,302,4043.0244,0.4620218
303,303,303,3711.6714,0.40176672
304,304,304,3827.3005,0.42279342
305,305,305,3925.1792,0.44059217
306,306,306,4188.096,0.48840246
307,307,307,4244.345,0.4986311
308,308,308,2893.2432,0.2529392
309,309,309,4246.8076,0.49907887
310,310,310,3892.5466,0.43465814
311,311,311,4498.867,0.5449148
312,312,312,4084.85,0.46962762
313,313,313,3792.1228,0.4163965
314,314,314,4025.9893,0.45892403
315,315,315,4252.8013,0.5001688
316,316,316,4029.338,0.45953298
317,317,317,4163.1445,0.4838651
318,318,318,4860.3765,0.61065364
319,319,319,4216.056,0.49348685
320,320,320,3720.5662,0.40338424
321,321,321,4360.733,0.51979566
322,322,322,4264.8066,0.50235194
323,323,323,4036.977,0.46092212
324,324,324,3852.0552,0.42729488
325,325,325,4752.2964,0.5909998
326,326,326,3737.475,0.406459
327,327,327,3902.9365,0.43654743
328,328,328,4419.6807,0.5305151
329,329,329,3848.2588,0.42660454
330,330,330,3713.3132,0.40206534
331,331,331,3244.149,0.31674987
332,332,332,4486.308,0.542631
333,333,333,3952.0889,0.4454856
334,334,334,4050.0393,0.4632975
335,335,335,3780.8188,0.41434088
336,336,336,4448.2603,0.5357121
337,337,337,4200.228,0.49060857
338,338,338,4215.2744,0.4933447
339,339,339,4681.4785,0.57812184
340,340,340,4197.5513,0.4901218
341,341,341,4068.702,0.4666912
342,342,342,3784.3699,0.41498667
343,343,343,5264.4604,0.68413454
344,344,344,3571.204,0.3762234
345,345,345,4067.6008,0.46649095
346,346,346,3799.489,0.41773602
347,347,347,4498.687,0.544882
348,348,348,4392.313,0.5255384
349,349,349,3953.6416,0.44576794
350,350,350,3648.9656,0.390364
351,351,351,4661.889,0.5745596
352,352,352,3550.0918,0.37238422
353,353,353,4348.8057,0.51762676
354,354,354,4532.9927,0.55112034
355,355,355,3802.242,0.4182366
356,356,356,3154.7747,0.30049756
357,357,357,4465.6094,0.538867
358,358,358,4205.6562,0.4915957
359,359,359,3907.093,0.43730333
360,360,360,3376.2024,0.3407632
361,361,361,3976.6985,0.44996077
362,362,362,5190.5596,0.67069596
363,363,363,3803.4353,0.41845363
364,364,364,4022.6335,0.45831385
365,365,365,4445.0684,0.5351317
366,366,366,3645.1477,0.38966975
367,367,367,3244.2373,0.31676593
368,368,368,4459.5635,0.5377676
369,369,369,3967.0137,0.4481996
370,370,370,4409.7305,0.52870566
371,371,371,3468.1465,0.35748282
372,372,372,4522.9756,0.5492988
373,373,373,4692.5405,0.58013344
374,374,374,3860.0918,0.42875633
375,375,375,3844.179,0.42586267
376,376,376,3863.3926,0.42935655
377,377,377,3388.0283,0.3429137
378,378,378,4094.873,0.47145024
379,379,379,3447.5264,0.35373315
380,380,380,3952.0337,0.44547555
381,381,381,4007.4844,0.45555902
382,382,382,1966.5115,0.084417164
383,383,383,3383.1025,0.34201795
384,384,384,2797.0896,0.23545411
385,385,385,4351.8604,0.5181822
386,386,386,3674.378,0.39498508
387,387,387,3997.0254,0.4536571
